Section,Customer,Customer Code,Brand,Product Supergroup,Product Group,Product Subgroup,Line,Year,Variance Fixed Cost PLN
NS PL Dealer, PHU LEGRANT KATARZYNA NAKONECZNY-KWARTNIK.,PL8871617392,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Taktik,2024,-12
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,!Niesklasyfikowane,!Niesklasyfikowane,!Niesklasyfikowane,!Niesklasyfikowane,!Niesklasyfikowane,2025,0
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,'@-Motion,2024,25
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,'@-Motion,2025,51
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,4ME,2024,13
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,4ME,2025,29
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Cafe,2025,3
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Intrata,2024,48
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Intrata,2025,97
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Navigo,2024,16
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Navigo,2025,62
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Orlando,2024,18
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Orlando,2025,27
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Sail,2024,21
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Viden,2024,13
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Viden,2025,6
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Xenium,2024,27
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Xenium,2025,30
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Z-body,2024,93
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła obrotowe,Krzesła obrotowe biurowe,Z-body,2025,27
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła ramowe,Krzesła ramowe na 4 nogach,Cafe,2025,38
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła ramowe,Krzesła ramowe na 4 nogach,Calado,2024,33
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła ramowe,Krzesła ramowe na 4 nogach,Intrata,2024,5
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła ramowe,Krzesła ramowe na 4 nogach,Lantana,2024,5
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła ramowe,Krzesła ramowe na 4 nogach,Zen,2025,3
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła ramowe,Krzesła ramowe na płozie,Intrata,2025,9
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Krzesła ramowe,Krzesła ramowe na płozie,Vesta New,2025,72
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Ławki i taborety,Krzesła ramowe barowe i hockery,Cafe,2025,3
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Krzesła,Ławki i taborety,Taborety,Belise,2024,6
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Meble,Biurka i stanowiska workbench,Biurka i moduły dodatkowe do biurek,Easy Space,2024,2
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Meble,Biurka i stanowiska workbench,Biurka i moduły dodatkowe do biurek,Easy Space,2025,8
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Meble,Biurka i stanowiska workbench,Biurka i moduły dodatkowe do biurek,eUP,2024,32
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Meble,Biurka i stanowiska workbench,Biurka i moduły dodatkowe do biurek,eUP,2025,17
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Meble,Meble do przechowywania,Kontenery,Easy Space,2024,9
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Meble,Meble do przechowywania,Kontenery,Easy Space,2025,6
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Meble,Meble do przechowywania,Lockers,Puzlo,2025,30
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Meble,Meble do przechowywania,Szafy i regały,Easy Space,2024,44
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Meble,Meble do przechowywania,Szafy i regały,Easy Space,2025,0
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Meble,Stoły i stoliki,Stoły do spotkań składane,Flib,2025,24
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Pozostałe,Produkty uzupełniające,Wózki do przewozu mebli i krzeseł,Vesta New,2025,-1
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Softseating,Softseating,Fotele,Athena,2025,7
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Softseating,Softseating,Fotele,Club,2025,8
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Softseating,Softseating,Fotele,Hello!,2024,9
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Softseating,Softseating,Pufy i pufy modułowe,Dotto,2024,3
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Softseating,Softseating,Pufy i pufy modułowe,Dotto,2025,2
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Softseating,Softseating,Sofy i sofy modułowe,Club,2024,5
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Softseating,Softseating,Sofy i sofy modułowe,Magnes II,2024,28
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Nowy Styl,Softseating,Softseating,Szezlongi,LinkUP,2024,11
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Pozostałe,Meble,"Panele, ścianki, produkty akustyczne","Nakładki, listwy organizacyjne i zawieszki do paneli",Pozostałe,2025,0
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Pozostałe,Pozostałe,Komponenty i materiały,Elementy montażowe,Multiline komponenty,2024,1
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Pozostałe,Pozostałe,Komponenty i materiały,Elementy montażowe,Multiline komponenty,2025,2
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Pozostałe,Pozostałe,Komponenty i materiały,Kółka i stopki,Multiline komponenty,2024,1
NS PL Dealer,"""ABI"" S.C. EWA RYLSKA AGNIESZKA SIKORSKA-AUGUSTYN",PL8942467802,Pozostałe,Pozostałe,Komponenty i materiały,Kółka i stopki,Multiline komponenty,2025,3
